"ID";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";
"98";"http://makersupplies.dk/img/p/8/5/9/859.jpg";"Stainless OX Long Y-Gantry Plates (Set of 2 Plates)";"98";"Machine Plates";"416.000000";"520";"0";"1";
"441";"http://makersupplies.dk/img/p/3/7/7/9/3779.jpg";"AMB (Kress) 1050 FME-P DI - Digital Speed Control - ER16";"441";"Spindles";"2579.990000";"3224.99";"4";"1";
"1235";"http://makersupplies.dk/img/p/7/4/6/7/7467.jpg";"FLASHFORGE FOTO 13.3 LCD RESIN PRINTER";"";"Flashforge";"18396.000000";"22995";"0";"1";
"27";"http://makersupplies.dk/img/p/1/3/4/134.jpg";"Linear Actuator End Mount";"27";"Brackets";"100.400000";"125.5";"22";"1";
"369";"http://makersupplies.dk/img/p/2/6/4/5/2645.jpg";"xPro 4 Axis Bundle 0.9Nm";"369";" Bundles - Controller, Steppers and Driver";"282.500000";"268.38";"0";"0";
"696";"http://makersupplies.dk/img/p/4/7/1/8/4718.jpg";"2, 3 and 4 Conductor Black PVC Cable - by the meter";"696";"Cables";"12.000000";"15";"757";"1";
"1169";"http://makersupplies.dk/img/p/7/3/0/9/7309.jpg";"Galaxy Gray - PETG 1.75 - Devil Design";"538";"PETG - 1.75mm";"124.000000";"155";"4";"1";
"631";"http://makersupplies.dk/img/p/4/3/9/4/4394.jpg";"High Z modification for LEAD CNC - Black";"631";"LEAD C-Beam CNC";"1726.400000";"2158";"26";"1";
"979";"http://makersupplies.dk/img/p/6/2/2/3/6223.jpg";"MOD1 Straight Rack";"979";"Rack and Pinon";"239.200000";"299";"31";"1";
"119";"http://makersupplies.dk/img/p/5/2/4/524.jpg";"Dual Belt End Bracket - Kit";"119";"Stainless OX";"150.000000";"187.5";"60";"1";
"450";"http://makersupplies.dk/img/p/3/8/4/2/3842.jpg";"Disk Ø10x2mm - Neodynium Magnet (10 pack)";"450";"Disk";"28.000000";"35";"39";"1";
"918";"http://makersupplies.dk/img/p/8/0/9/6/8096.jpg";"Mini Ball Bearing 105zz 5x10x4";"918";"Bearings";"15.000000";"18.75";"117";"1";
"1246";"http://makersupplies.dk/img/p/7/4/7/6/7476.jpg";"PRIMACREATOR VALUE TOUGH UV RESIN (ABS LIKE) - 500 ML - CLEAR";"";"Tough Resin";"316.000000";"395";"2";"1";
